acc	organisms	technology	platforms	samples
SRP045294	HOMO_SAPIENS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2500,Illumina HiSeq 2500,IlluminaHiSeq2000	NA
SRP048858	HOMO_SAPIENS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP063460	HOMO_SAPIENS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP068423	HOMO_SAPIENS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	SRR3100209,SRR3100208,SRR3100207,SRR3100206,SRR3100205,SRR3100204
ERP017989	HOMO_SAPIENS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	ERR1691967,ERR1691966,ERR1691965,ERR1691964,ERR1691963,ERR1691962,ERR1691961,ERR1691960,ERR1691959,ERR1691958,ERR1691957,ERR1691956,ERR1691955,ERR1691954,ERR1691953,ERR1691952,ERR1691951,ERR1691950,ERR1691949,ERR1691948,ERR1691947,ERR1691946,ERR1691945,ERR1691944,ERR1691943,ERR1691942,ERR1691941,ERR1691940,ERR1691939,ERR1691938,ERR1691937,ERR1691936,ERR1691935,ERR1691934,ERR1691933,ERR1691932,ERR1691931,ERR1691930,ERR1691929,ERR1691928,ERR1691927,ERR1691926,ERR1691925,ERR1691924,ERR1691923
ERP024278	HOMO_SAPIENS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	ERR2091698,ERR2091697,ERR2091696,ERR2091695,ERR2091694,ERR2091693,ERR2091692,ERR2091691,ERR2091690,ERR2091689,ERR2091688,ERR2091687
SRP039559	HOMO_SAPIENS	RNA-SEQ	IlluminaGenomeAnalyzerIIx	NA
SRP068307	HOMO_SAPIENS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP048562	HOMO_SAPIENS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	SRR1594025,SRR1594024,SRR1594023,SRR1594022,SRR1594021,SRR1594020
SRP051485	HOMO_SAPIENS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	SRR1732346,SRR1732345,SRR1732344,SRR1732343,SRR1732342,SRR1732341,SRR1732340,SRR1732339,SRR1732338,SRR1732337,SRR1732336,SRR1732335,SRR1732334,SRR1732333,SRR1732332,SRR1732331,SRR1732330,SRR1732329,SRR1732328,SRR1732327,SRR1732326
ERP013303	HOMO_SAPIENS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP035387	HOMO_SAPIENS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
ERP107491	HOMO_SAPIENS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP055916	HOMO_SAPIENS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	SRR1850931,SRR1850930,SRR1850929,SRR1850928,SRR1850927
SRP001563	HOMO_SAPIENS	RNA-SEQ	Illumina Genome Analyzer,IlluminaGenomeAnalyzer	SRR034203,SRR034202,SRR034194,SRR034164,SRR032278,SRR032277,SRR032276,SRR032275,SRR032274,SRR032273,SRR032272,SRR032271,SRR032270,SRR032269,SRR032268,SRR032267,SRR032266,SRR032265,SRR032264,SRR032263,SRR032262,SRR032261,SRR032260,SRR032259,SRR032258,SRR032257,SRR032256,SRR032255,SRR032254,SRR032253,SRR032252,SRR032251,SRR032250,SRR032249,SRR032248,SRR032247,SRR032246,SRR032245,SRR032244,SRR032243,SRR032242,SRR032241,SRR032240,SRR032239,SRR032238
SRP069243	HOMO_SAPIENS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	SRR3143218,SRR3143217,SRR3143216,SRR3143215,SRR3143214,SRR3143213,SRR3143212,SRR3143211,SRR3143210,SRR3143209,SRR3143208,SRR3143207,SRR3143206,SRR3143205,SRR3143204,SRR3143203,SRR3143202,SRR3143201,SRR3143200,SRR3143199,SRR3143198,SRR3143197,SRR3143196,SRR3143195,SRR3143194,SRR3143193,SRR3143192,SRR3143191,SRR3143190,SRR3143189,SRR3143188,SRR3143187,SRR3143186,SRR3143185,SRR3143184,SRR3143183,SRR3143182,SRR3143181,SRR3143180,SRR3143179,SRR3143178,SRR3143177,SRR3143176,SRR3143175,SRR3143174,SRR3143173,SRR3143172,SRR3143171,SRR3143170,SRR3143169,SRR3143168,SRR3143167,SRR3143166,SRR3143165,SRR3143164,SRR3143163,SRR3143162,SRR3143161,SRR3143160,SRR3143159,SRR3143158,SRR3143157,SRR3143156,SRR3143155,SRR3143154,SRR3143153,SRR3143152,SRR3143151,SRR3143150,SRR3143149,SRR3143148,SRR3143147,SRR3143146,SRR3143145,SRR3143144,SRR3143143,SRR3143142,SRR3143141,SRR3143140,SRR3143139,SRR3143138,SRR3143137,SRR3143136,SRR3143135,SRR3143134,SRR3143133,SRR3143132,SRR3143131,SRR3143130,SRR3143129,SRR3143128,SRR3143127,SRR3143126,SRR3143125,SRR3143124,SRR3143123,SRR3143122,SRR3143121,SRR3143120,SRR3143119,SRR3143118,SRR3143117,SRR3143116,SRR3143115,SRR3143114,SRR3143113,SRR3143112,SRR3143111,SRR3143110,SRR3143109,SRR3143108,SRR3143107,SRR3143106,SRR3143105,SRR3143104,SRR3143103,SRR3143102,SRR3143101,SRR3143100,SRR3143099,SRR3143098,SRR3143097,SRR3143096,SRR3143095,SRR3143094,SRR3143093,SRR3143092,SRR3143091,SRR3143090,SRR3143089,SRR3143088,SRR3143087,SRR3143086,SRR3143085,SRR3143084,SRR3143083,SRR3143082,SRR3143081,SRR3143080,SRR3143079,SRR3143078,SRR3143077,SRR3143076,SRR3143075,SRR3143074,SRR3143073,SRR3143072,SRR3143071,SRR3143070,SRR3143069,SRR3143068,SRR3143067,SRR3143066,SRR3143065,SRR3143064,SRR3143063,SRR3143062,SRR3143061,SRR3143060,SRR3143059,SRR3143058,SRR3143057,SRR3143056,SRR3143055,SRR3143054,SRR3143053,SRR3143052,SRR3143051,SRR3143050,SRR3143049,SRR3143048,SRR3143047,SRR3143046,SRR3143045,SRR3143044,SRR3143043,SRR3143042,SRR3143041,SRR3143040,SRR3143039,SRR3143038,SRR3143037,SRR3143036,SRR3143035,SRR3143034,SRR3143033,SRR3143032,SRR3143031,SRR3143030,SRR3143029,SRR3143028,SRR3143027,SRR3143026,SRR3143025,SRR3143024,SRR3143023,SRR3143022,SRR3143021,SRR3143020,SRR3143019,SRR3143018,SRR3143017,SRR3143016,SRR3143015,SRR3143014,SRR3143013,SRR3143012,SRR3143011,SRR3143010,SRR3143009,SRR3143008,SRR3143007,SRR3143006,SRR3143005,SRR3143004,SRR3143003,SRR3143002,SRR3143001,SRR3143000,SRR3142999,SRR3142998,SRR3142997,SRR3142996,SRR3142995,SRR3142994,SRR3142993,SRR3142992,SRR3142991,SRR3142990,SRR3142989,SRR3142988,SRR3142987,SRR3142986,SRR3142985,SRR3142984,SRR3142983,SRR3142982,SRR3142981,SRR3142980,SRR3142979,SRR3142978,SRR3142977,SRR3142976,SRR3142975,SRR3142974,SRR3142973,SRR3142972,SRR3142971,SRR3142970,SRR3142969,SRR3142968,SRR3142967,SRR3142966,SRR3142965,SRR3142964,SRR3142963,SRR3142962,SRR3142961,SRR3142960,SRR3142959,SRR3142958,SRR3142957,SRR3142956,SRR3142955,SRR3142954,SRR3142953,SRR3142952,SRR3142951,SRR3142950,SRR3142949
SRP056037	HOMO_SAPIENS	RNA-SEQ	IonTorrentProton,Ion Torrent Proton	SRR1909061,SRR1909060,SRR1909059
SRP131322	HOMO_SAPIENS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP059536	HOMO_SAPIENS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP066415	HOMO_SAPIENS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	SRR2925043,SRR2925042,SRR2925041,SRR2925040,SRR2925039,SRR2925038
